id,planned_filename,expected_label,source_name,source_url,direct_video_url,review_status,source_notes
001,001_york_gbs_dpi.mov,pass_interference_defense,User-provided DPI clip,,,approved,Approved golden clip. Defensive pass interference under NFHS pass-interference standards.
002,002_obvious_dpi_early_contact.mov,pass_interference_defense,MIBT - Defensive Pass Interference Explained: Key Categories and On-Field Judgments,https://mibt.org/video/defensive-pass-interference-fundamentals/,,approved,Approved golden clip. High School Football. DPI category: early_contact. Obvious early contact before the ball arrives; defender restricts receiver before the pass gets there.
003,003_borderline_dpi_arm_restrict.mov,pass_interference_defense,MIBT - Did the Defender Affect the Play? Evaluating DPI in a Tough Scenario,https://mibt.org/video/evaluating-defensive-pass-interference/,,approved,Approved golden clip. High School Football. DPI category: arm_bar/body_restrict. Borderline DPI where defender restricts receiver before the ball arrives on a catchable pass.
004,004_no_foul_no_pass_interference.mov,None,MIBT - Defensive Pass Interference Explained: Key Categories and On-Field Judgments,https://mibt.org/video/defensive-pass-interference-fundamentals/,,approved,Approved golden clip. High School Football. No foul: contact/action should not be ruled pass interference. Common confusion: do not call DPI without material restriction that affects the receiver before the ball arrives.
005,005_no_foul_no_dpi.mov,None,MIBT - Viewing Angles Matter: Why This DPI Play Divides Football Officials,https://mibt.org/video/viewing-angles-defensive-pass-interference/,,approved,"Approved golden clip. High School Football. No foul for DPI. Some contact occurs, but do not call defensive pass interference without material restriction affecting the catch opportunity."
006,006_no_foul_no_opi.mov,None,MIBT - OPI called but bad angle by B-Mechanics and Crew Communication,https://mibt.org/video/opi-called-but-bad-angle-by-b-mechanics-and-crew-communication/,,approved,Approved golden clip. High School Football. No offensive pass interference on the play. Do not call OPI without material offensive restriction/contact that creates an illegal advantage before the pass is touched.
007,007_obvious_dpi.mov,pass_interference_defense,MIBT - Weekly Football Training Meeting for 10-4-23,https://mibt.org/video/kickoff-play-and-many-offensive-pass-interference-plays-10-4-23-meeting/,,approved,Approved golden clip. High School Football. Obvious defensive pass interference: defender materially restricts the receiver before the ball arrives and affects the catch opportunity.
008,008_obvious_opi.mov,pass_interference_offense,"MIBT - Illegal Contact Against a Defenseless Defender Making Catch Attempt, OPI or Legal Contact",https://mibt.org/video/illegal-contact-against-a-defenseless-defender-making-catch-attempt-offensive-pass-interference-or-legal-contact/,,approved,Approved golden clip. High School Football. Obvious offensive pass interference: offensive player materially restricts the defender or creates illegal separation before the pass is touched.
009,009_no_foul_no_opi.mov,None,"MIBT - Defensive Pass Interference, OPI, or just hand fighting?",https://mibt.org/video/defensive-or-offensive-pass-interference-or-hand-fighting/,,approved,Approved golden clip. High School Football. No foul for offensive pass interference. Contact/hand fighting does not materially restrict the defender or create illegal separation before the pass is touched.
010,010_obvious_opi.mov,pass_interference_offense,MIBT - Weekly Football Training Meeting for 10-4-23,https://mibt.org/video/kickoff-play-and-many-offensive-pass-interference-plays-10-4-23-meeting/,,approved,Approved golden clip. High School Football. Obvious offensive pass interference: offensive player materially restricts the defender or creates illegal separation before the pass is touched.
011,011_obvious_offensive_holding.mov,holding,"MIBT - Missed holding on left tackle, mechanics on suspect fumble downfield",https://mibt.org/video/missed-holding-on-left-tackle-mechanics-on-suspect-fumble-downfield/,,approved,Approved golden clip. High School Football. Obvious offensive holding: blocker materially restricts defender outside the frame of the body and affects the play.
012,012_obvious_offensive_holding.mov,holding,"MIBT - Impact of Grabbing the Jersey, When Does Blocking Become a Hold",https://mibt.org/video/impact-of-grabbing-the-jersey-and-when-does-blocking-become-a-hold/,,approved,Approved golden clip. High School Football. Obvious offensive holding: blocker materially restricts defender outside the frame of the body and affects the play.
013,013_obvious_holding_point_of_attack.mov,holding,"MIBT - Penalty Enforcement, double foul, offensive holding and DPI during an incomplete pass",https://mibt.org/video/penalty-enforcement-double-foul-offensive-holding-and-defensive-pass-interference-during-an-incomplete-pass/,,approved,Approved golden clip. High School Football. Obvious offensive holding at the point of attack: blocker materially restricts defender and affects the play.
014,014_obvious_block_in_back.mov,illegal_block_in_back,"MIBT - Illegal Block in the Back, Holding, or Legal Contact",https://mibt.org/video/illegal-block-in-the-back-holding-or-legal-contact/,,approved,Approved golden clip. High School Football. Obvious block in the back: blocker contacts opponent from behind and above the waist in a way that affects the play.
015,015_no_foul_borderline_holding.mov,None,MIBT - Player looks to hold defender but ball is gone,https://mibt.org/video/player-looks-to-hold-defender-but-ball-is-gone-referee-talks-to-player-and-doesnt-throw-flag-for-holding/,,approved,"Approved golden clip. High School Football. Borderline holding action, but no call: contact does not rise to material restriction affecting the play."
016,016_no_foul_clean_coverage.mov,None,MIBT - No Flag on This Play: Mutual Combat and Proper Judgement,https://mibt.org/video/mutual-combat-proper-judgement-defensive-pass-interference-call/,,approved,Approved golden clip. High School Football. No DPI or OPI: clean coverage / legal contact with no material restriction by either player.
017,017_no_foul_no_dpi_or_opi.mov,None,MIBT - Defensive Pass Interference in End Zone?,https://mibt.org/video/defensive-pass-interference-in-end-zone/,,approved,Approved golden clip. High School Football. No foul for DPI or OPI: no material restriction by either player affecting the catch opportunity.
018,018_no_foul_no_block_in_back.mov,None,"MIBT - Illegal Block in the Back, Holding, or Legal Contact",https://mibt.org/video/illegal-block-in-the-back-holding-or-legal-contact/,,approved,Approved golden clip. High School Football. No foul for block in the back: contact does not meet the rule standard for an illegal block in the back or does not materially affect the play.
019,019_obvious_illegal_formation.mov,illegal_formation,MIBT - Is the right tackle lined up legally? Suspect illegal formation,https://mibt.org/video/is-the-right-tackle-lined-up-legally-suspect-illegal-formation/,,approved,Approved golden clip. High School Football. Obvious illegal formation: offense is improperly aligned at the snap.
020,020_borderline_illegal_motion_forward.mov,None,"MIBT - QB fakes snap. Possible false start, illegal motion, illegal shift or legal movement",https://mibt.org/video/qb-fakes-snap-possible-false-start-illegal-motion-illegal-shift-or-what-movement-legal-9-11-24/,,approved,"Approved golden clip. High School Football. No foul for illegal motion: borderline motion action, but player movement is legal or does not meet the illegal-motion rule standard at the snap."
021,021_no_foul_not_illegal_shift.mov,None,MIBT - Hyper-technical illegal shift by quarterback,https://mibt.org/video/hyper-technical-illegal-shift-by-quarterback/,,approved,Approved golden clip. High School Football. No foul: not an illegal shift. Player/team movement is legal or does not meet the illegal-shift rule standard before the snap.
022,022_personal_foul_illegal_blindside_block.mov,illegal_blindside_block,MIBT - Late action that can be Unnecessary Roughness or Illegal Blindside Block,https://mibt.org/video/late-action-that-can-be-a-unnecessary-roughness-foul-or-an-illegal-blindside-block-foul-9-5-24/,,approved,Approved golden clip. High School Football. Personal foul: illegal blindside block. Blocker initiates forceful blindside contact against an opponent.
023,023_personal_foul_targeting.mov,targeting,MIBT - Illegal Helmet Contact on QB with only 4 officials,https://mibt.org/video/illegal-helmet-contact-on-qb-with-only-4-officials-targeting-with-suspect-dq-illegal-helmet-contact-rules-9-11-24/,,approved,Approved golden clip. High School Football. Personal foul: targeting. Player initiates forcible targeted contact against an opponent.
024,024_obvious_horse_collar_tackle.mov,horse_collar_tackle,MIBT - Horse Collar on run to the sideline,https://mibt.org/video/horse-collar-on-run-to-the-sideline/,,approved,Approved golden clip. High School Football. Obvious horse-collar tackle: defender grabs the runner from behind/side and pulls the runner down by the collar/shoulder-pad area.
025,025_no_foul_no_kick_catch_interference.mov,None,MIBT - Suspect Kick catching interference with receiver making the fair catch,https://mibt.org/video/suspect-kick-catching-interference-with-receiver-making-the-fair-catch/,,approved,Approved golden clip. High School Football. Not kick-catch interference; receiver is not denied an unimpeded opportunity to catch the kick.
026,026_roughing_the_kicker.mov,roughing_the_kicker,"MIBT - Running Into or Roughing the Kicker, Judgement on Scrimmage Kick",https://mibt.org/video/roughing-or-running-into-kicker-2-2024/,,approved,Approved golden clip. High School Football. Roughing the kicker; contact after the kick is severe enough to be a foul rather than running into the kicker.
027,027_free_kick_out_of_bounds.mov,free_kick_out_of_bounds,"MIBT - Kickoff that is either Out of Bounds, Illegal Participation or Touchback",https://mibt.org/video/kick-off-out-of-bounds-illegal-participation-touchback/,,approved,Approved golden clip. High School Football. Obvious free kick out of bounds; kick goes out of bounds untouched by the receiving team.
